target_id,evidence_class,route_id,clock_id,native_object,projection_mapping,native_time,calendar_time,calendar_time_normalized,event_count,cumulative_volume,impact
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},91,91.647999999999996,0.35799999999999998,91,0.35546875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},92,92.159999999999997,0.35999999999999999,92,0.359375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},92,92.671999999999997,0.36199999999999999,92,0.359375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},93,93.183999999999997,0.36399999999999999,93,0.36328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},93,93.695999999999998,0.36599999999999999,93,0.36328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},94,94.207999999999998,0.36799999999999999,94,0.3671875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},94,94.719999999999999,0.37,94,0.3671875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},95,95.231999999999999,0.372,95,0.37109375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},95,95.744,0.374,95,0.37109375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},96,96.256,0.376,96,0.375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},96,96.768000000000001,0.378,96,0.375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},97,97.280000000000001,0.38,97,0.37890625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},97,97.792000000000002,0.38200000000000001,97,0.37890625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},98,98.304000000000002,0.38400000000000001,98,0.3828125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},98,98.816000000000003,0.38600000000000001,98,0.3828125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},99,99.328000000000003,0.38800000000000001,99,0.38671875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},99,99.840000000000003,0.39000000000000001,99,0.38671875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},100,100.352,0.39200000000000002,100,0.390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},100,100.864,0.39400000000000002,100,0.390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},101,101.376,0.39600000000000002,101,0.39453125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},101,101.88800000000001,0.39800000000000002,101,0.39453125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},102,102.40000000000001,0.40000000000000002,102,0.3984375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},102,102.91200000000001,0.40200000000000002,102,0.3984375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},103,103.42400000000001,0.40400000000000003,103,0.40234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},103,103.93600000000001,0.40600000000000003,103,0.40234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},104,104.44800000000001,0.40800000000000003,104,0.40625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},104,104.96000000000001,0.41000000000000003,104,0.40625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},105,105.47200000000001,0.41200000000000003,105,0.41015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},105,105.98400000000001,0.41400000000000003,105,0.41015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},106,106.49600000000001,0.41600000000000004,106,0.4140625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},107,107.008,0.41799999999999998,107,0.41796875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},107,107.52,0.41999999999999998,107,0.41796875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},108,108.032,0.42199999999999999,108,0.421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},108,108.544,0.42399999999999999,108,0.421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},109,109.056,0.42599999999999999,109,0.42578125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},109,109.568,0.42799999999999999,109,0.42578125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},110,110.08,0.42999999999999999,110,0.4296875,
